Name,Rate,active_price,address,metro
Отель Клементин,9.1/10,4 260,"Москва, ул. Ольховская, д. 23с2",Красносельская
Отель Капучино,9.3/10,4 100,"Москва, пер. Электрический, д. 3/10с1",Белорусская МЦД-4
Апартаменты ApartLux на Зубовском,9.4/10,9 000,"Москва, б-р Зубовский, д. 29",Парк Культуры
Гостиница Дуэт-Отель,9.1/10,4 500,"Москва, ул. Академика Миллионщикова, д. 35к4",Каширская
Гостиница Погости на Тульской,9.1/10,5 900,"Москва, ул. Большая Тульская, д. 2",Тульская
Гостиница Камергерский,9.1/10,5 850,"Москва, пер. Камергерский, д. 6/5, стр. 3",Театральная
Гостиница Грибоедов,8.7/10,3 700,"Москва, Измайловское ш., д. 3А",Семеновская
Апарт-отель Raido.Moscow Forest,9.6/10,5 875,"Москва, ул. 2-я Рощинская, д. 10",Тульская
Апартаменты Киго Лайнер Восток,9.4/10,4 785,"Москва, Ходынский б-р, д. 2",ЦСКА
Хостел Есенин,9.1/10,"676,80","Москва, ул. Краснопрудная, д. 28",Красносельская
Отель Минима Китай-Город,8.7/10,4 020,"Москва, пр. Лубянский, д. 25, стр. 1",Китай-город
Отель Москва Салют Мандарин,8.5/10,3 680,"Москва, ул. Ольховская, д. 23, стр. 3",Красносельская
Пятницкая Hotel,9.3/10,8 668,"Москва, ул. Пятницкая, д. 3/4, стр. 2",Новокузнецкая
Отель Нагорный,8.7/10,3 000,"Москва, Электролитный пр-д, д. 1Б",Нагорная
